[Thu Jan 30 16:01:45 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:01:46 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:46 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:47 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:47 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:48 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:48 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:49 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:49 2025] src/display/display_utils.c:180 - Input 'w' written to the pipe
[Thu Jan 30 16:01:50 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:01:51 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:01:51 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:52 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:52 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:52 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:53 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:55 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:58 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:58 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:58 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:01:59 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:02:00 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:02:00 2025] src/display/display_utils.c:180 - Input 'd' written to the pipe
[Thu Jan 30 16:02:04 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:05 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:07 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:07 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:08 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:10 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:11 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:11 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:12 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:12 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:13 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:14 2025] src/display/display_utils.c:180 - Input 'w' written to the pipe
[Thu Jan 30 16:02:15 2025] src/display/display_utils.c:180 - Input 'w' written to the pipe
[Thu Jan 30 16:02:17 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:18 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:19 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:19 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:19 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:20 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:20 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:21 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
